code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,KFC,https://glovoapp/es/vac/store/kfc-valdemoro/
,,,100 Montaditos,https://glovoapp/es/vac/store/100-montaditos-valdemoro-ciempozuelos/
,,,Bar Restaurante Pencho,https://glovoapp/es/vac/store/bar-restaurante-pencho-valdemoro-ciempozuelos/
,,,Papa John's,https://glovoapp/es/vac/store/papa-johns-vac/
,,,Ke Más Kebab,https://glovoapp/es/vac/store/ke-m-s-kebab-valdemoro/
,,,Cardinal,https://glovoapp/es/vac/store/restaurante-cardinal-valdemoro/
,,,Pizzería Carlos,https://glovoapp/es/vac/store/pizzeria-carlos-valdemoro-ciempozuelos/
,,,Foster's Hollywood,https://glovoapp/es/vac/store/foster-s-hollywood-valdemoro-ciempozuelos/
,,,Telepizza,https://glovoapp/es/vac/store/telepizza-valdemoro/
,,,Rodilla,https://glovoapp/es/vac/store/rodilla-valdemoro/
,,,Doner Kebab Estambul,https://glovoapp/es/vac/store/doner-kebab-estambul-valdemoro-ciempozuelos/
,,,Don G,https://glovoapp/es/vac/store/don-g-valdemoro/
,,,27 de Julio Pizzería Döner - Kebab,https://glovoapp/es/vac/store/27-de-julio-pizzer-a-d-ner-kebab-valdemoro-ciempozuelos/
,,,Urban Diner,https://glovoapp/es/vac/store/urban-diner-valdemoro/
,,,Oh My KEBAB,https://glovoapp/es/vac/store/ohmykebab-valdemorociempozuelos/
,,,Cachopería de Valdemoro ,https://glovoapp/es/vac/store/cachoper-a-de-valdemoro--valdemoro/
,,,Restaurante Italiano Ópera Vivaldí,https://glovoapp/es/vac/store/restaurante-italiano-opera-vivaldi-valdemoro-ciempozuelos/
,,,El Puchero De Mi Abuela ,https://glovoapp/es/vac/store/el-puchero-de-mi-abuela-valdemoro-ciempozuelos/
,,,Restaurante La Luna,https://glovoapp/es/vac/store/restaurante-la-luna-valdemoro/
,,,Matices,https://glovoapp/es/vac/store/matices-valdemoro-cienpozuelos/
,,,OM Restaurante Hindú,https://glovoapp/es/vac/store/om-restaurante-hind--valdemoro-ciempozuelos/
,,,Doner Kebab Pizza Estambul,https://glovoapp/es/vac/store/doner-kebab-pizza-estambul-valdemoro-clempozuelos/
,,,Darilo's Pizza,https://glovoapp/es/vac/store/darilos-pizza-valdemoro/
,,,A'Cantinella,https://glovoapp/es/vac/store/a-cantinella-valdemoro/
,,,Pizzería Hungry's,https://glovoapp/es/vac/store/pizzeria-hungrys-valdemoro-ciempozuelos/
,,,Pastelería Sanchez ,https://glovoapp/es/vac/store/pasteleria-sanchez-valdemoro/
,,,Mercado Porteño,https://glovoapp/es/vac/store/mercado-porte-o-valdemoro-ciempozuelos/
,,,Restaurante Pizzería Chili,https://glovoapp/es/vac/store/restaurante-pizzeria-chili-valdemoro/
,,,Taberna Vinoteca La Buha,https://glovoapp/es/vac/store/taberna-vinoteca-la-buha/
,,,Restaurante Baraka,https://glovoapp/es/vac/store/baraka-valdemoro/
,,,Granier,https://glovoapp/es/vac/store/granier-valdemoro-ciempozuelos/
,,,La Barrica de Leyda,https://glovoapp/es/vac/store/la-barrica-de-leyda-valdemoro-clempozuelos/
,,,Chili Hut,https://glovoapp/es/vac/store/chili-hut-valdemoro-ciempozuelos/
,,,Restaurante El Segoviano,https://glovoapp/es/vac/store/restaurante-el-segoviano-valdemoro/
,,,Burger King,https://glovoapp/es/vac/store/burger-king-valdemoro/
,,,Picapollo,https://glovoapp/es/vac/store/picapollo-valdemoro-cienpozuelos/
BYT,Bytom,https://glovoapp.com/es/BYT/category/RESTAURANT/,,
,,,KFC,https://glovoapp/es/byt/store/kfc-byt/
,,,Sapori Divini,https://glovoapp/es/byt/store/sapori-divini-byt/
,,,Anaconda Pizza & Resto,https://glovoapp/es/byt/store/anaconda-pizza---resto-byt/
,,,Fat Mama's Pizzeria Italiana,https://glovoapp/es/byt/store/fat-mama-s-pizzeria-italiana-byt/
,,,Pizza SuperFranco,https://glovoapp/es/byt/store/pizza-superfranco-byt/
,,,Jadłodajnia Mamy,https://glovoapp/es/byt/store/jadlodajnia-mamy-byt/
,,,Mama's Pasta,https://glovoapp/es/byt/store/mamas-pasta-byt/
,,,Pizzeria pod Żurawiem,https://glovoapp/es/byt/store/pizzeria-pod--urawiem-byt/
,,,McDonald’s,https://glovoapp/es/byt/store/mcdonald-s-byt/
,,,Zelter,https://glovoapp/es/byt/store/zelter-byt/
,,,Telepizza,https://glovoapp/es/byt/store/telepizza-byt/
,,,Kebab Lopez,https://glovoapp/es/byt/store/kebab-lopez1-byt/
,,,W domu u Molto Bene,https://glovoapp/es/byt/store/w-domu-u-molto-bene-byt/
,,,Pizza Bene,https://glovoapp/es/byt/store/pizza-bene-byt/
,,,Molto Burgery,https://glovoapp/es/byt/store/molto-burgery-byt/
,,,Molto Bene Pub & Bistro,https://glovoapp/es/byt/store/molto-bene-pub-and-bistro-byt/
,,,Tandoori King,https://glovoapp/es/byt/store/tandoori-king-byt/
,,,Bene Zdrowie,https://glovoapp/es/byt/store/bene-zdrowie-byt/
BZG,Bydgoszcz,https://glovoapp.com/es/BZG/category/RESTAURANT/,,
,,,KFC,https://glovoapp/es/bzg/store/kfc-bzg/
,,,Pizzeria Soprano,https://glovoapp/es/bzg/store/pizzeria-soprano-bzg/
,,,Pasibus,https://glovoapp/es/bzg/store/pasibus-bzg/
,,,El-Habib Kebab,https://glovoapp/es/bzg/store/el-habib-kebab/
,,,New China Town,https://glovoapp/es/bzg/store/new-china-town-bzg/
,,,Domino's Pizza,https://glovoapp/es/bzg/store/domino-s-pizza-bzg/
,,,Sphinx Stary Rynek,https://glovoapp/es/bzg/store/sphinx-stary-rynek-bzg/
,,,OGIEŃ,https://glovoapp/es/bzg/store/ogien-bzg/
,,,The Burgers,https://glovoapp/es/bzg/store/the-burgers-bzg/
,,,Shrimp Bistro - Bar Krewetkowy Jatki 9,https://glovoapp/es/bzg/store/shrimp-bistro-bar-krewetkowy-jatki-9-bzg/
,,,Pierogarnia Stary Młyn,https://glovoapp/es/bzg/store/pierogarnia-stary-m-yn-bzg/
,,,Chłopskie Jadło,https://glovoapp/es/bzg/store/chlopskie-jadlo-bzg/
,,,Pizza Pasta Bydgoszcz,https://glovoapp/es/bzg/store/pizza-pasta-bydgoszcz-bzg/
ZHY,Zhytomyr,https://glovoapp.com/es/ZHY/category/RESTAURANT/,,
,,,Vansa Ghar,https://glovoapp/es/bzg/store/vansa-ghar-bzg/
,,,Naleśnikarnia Gramofon,https://glovoapp/es/bzg/store/nalesnikarnia-gramofon-bzg/
,,,Burger Park,https://glovoapp/es/bzg/store/burger-park-bzg/
,,,Chiński Makaron,https://glovoapp/es/bzg/store/chinski-makaron-bzg/
,,,Bistro by ABC,https://glovoapp/es/bzg/store/bistro-by-abc-bzg/
,,,Wegetariańskie Melodie ,https://glovoapp/es/bzg/store/wegetarianskie-melodie-bzg/
,,,Słodka Nuta,https://glovoapp/es/bzg/store/slodka-nuta-bzg/
,,,Snacks China Town,https://glovoapp/es/bzg/store/snacks-china-town-bzg/
,,,Zupy z Chin,https://glovoapp/es/bzg/store/zupy-z-chin-bzg/
,,,Sushi,https://glovoapp/es/bzg/store/sushi-bzg/
,,,Pizzeria Restauracja Familijna ,https://glovoapp/es/bzg/store/pizzeria-restauracja-familijna-bzg/
,,,Pizzerijna Bydgoszcz,https://glovoapp/es/bzg/store/pizzerijna-bydgoszcz/
,,,Seafood China,https://glovoapp/es/bzg/store/seafood-china-bzg/
,,,Makarony Familijne,https://glovoapp/es/bzg/store/makarony-familijne-bzg/
,,,Yolo Chicken,https://glovoapp/es/bzg/store/yolo-chicken-bzg/
,,,Burger King,https://glovoapp/es/bzg/store/burger-king-bzg/
,,,Pizza Hut,https://glovoapp/es/bzg/store/pizza-hut-bzg/
,,,La Nostra,https://glovoapp/es/bzg/store/la-nostra-bzg/
,,,Sajgon,https://glovoapp/es/bzg/store/sajgon-bzg/
,,,Och! Pita,https://glovoapp/es/bzg/store/och-pita-bzg/
,,,Domowe Obiady Familijne,https://glovoapp/es/bzg/store/domowe-obiady-familijne-bzg/
,,,Bosfor,https://glovoapp/es/bzg/store/bosfor-bzg/
,,,Pancake na Winylu,https://glovoapp/es/bzg/store/pancake-na-winylu-bzg/
,,,McDonald's,https://glovoapp/es/zhy/store/mcdonald-s-zhy/
,,,Lanch kafe Maco,https://glovoapp/es/zhy/store/lanch-kafe-maso-zhy/
,,,Baluvana Galia / Балувана Галя,https://glovoapp/es/zhy/store/varenychna-zhy/
,,,Mimicon,https://glovoapp/es/zhy/store/mimicon-zhy/
,,,Burgerland,https://glovoapp/es/zhy/store/burgerland-zhy/
,,,Craft,https://glovoapp/es/zhy/store/craft-zhy/
,,,Wolf / Вульф,https://glovoapp/es/zhy/store/wolf-zhy/
,,,Silvio D'Italia,https://glovoapp/es/zhy/store/silvio-d-italia-zhy/
,,,Pizzaland,https://glovoapp/es/zhy/store/pizzaland-zhy/
,,,Familiya / Фамілія,https://glovoapp/es/zhy/store/familiya-zhy/
,,,Otto Miracoli ,https://glovoapp/es/zhy/store/otto-miracoli-zhy/
,,,Shashlychnyi Dvir (Global)/ Шашличний двір,https://glovoapp/es/zhy/store/shashlychnyi-dvir-zhy/
,,,Sushi Master / Суши Мастер,https://glovoapp/es/zhy/store/sushi-master-zhy/
,,,Street Lunch,https://glovoapp/es/zhy/store/street-lunch-zhy/
,,,Polisyanka / Полісянка,https://glovoapp/es/zhy/store/polisyanka-zhy/
,,,Lviv Handmade Chocolate / Львівська майстерня шоколаду,https://glovoapp/es/zhy/store/lvv-handmade-chocolate-zhy/
,,,Meksykańskie Rytmy,https://glovoapp/es/bzg/store/meksykanskie-rytmy-bzg/
,,,Hello Pizza,https://glovoapp/es/bzg/store/hellopizza-bzg/
,,,Pizzeria Domigo,https://glovoapp/es/bzg/store/pizzeria-domigo-bzg/
,,,Paco Pizza,https://glovoapp/es/bzg/store/paco-pizza-bzg/
,,,Warzelnia Piwa,https://glovoapp/es/bzg/store/warzelnia-piwa-bzg/
,,,Wytrawna Symfonia,https://glovoapp/es/bzg/store/wytrawna-symfonia-bzg/
,,,McDonald’s,https://glovoapp/es/bzg/store/mcdonald-s-bzg/
,,,KC Kebab & Chicken,https://glovoapp/es/bzg/store/kc-kebab-chicken-bzg/
,,,Bobby Burger,https://glovoapp/es/bzg/store/bobby-burger-bzg/
,,,Pizzeria Toscania,https://glovoapp/es/bzg/store/pizzeria-toscania-bzg/
,,,Pizzeria Piratto,https://glovoapp/es/bzg/store/pizzeria-piratto-bzg/
,,,Syty Obiad,https://glovoapp/es/bzg/store/syty-obiad-bzg/
,,,Pizzeria Colorado,https://glovoapp/es/bzg/store/pizzeria-colorado-bzg/
,,,New York Pizza Department,https://glovoapp/es/bzg/store/new-york-pizza-department-bzgoszcz/
,,,RuBaRu Restauracja Indyjska,https://glovoapp/es/bzg/store/rubaru-restauracja-indyjska-bzg/
,,,Restauracja  Orientalna Thu Ha,https://glovoapp/es/bzg/store/bar-bistro-thu-ha-bzg/
,,,Kuchnia Orientalna Thien Long,https://glovoapp/es/bzg/store/kuchnia-orientalna-thien-long/
,,,Frazza Bistro,https://glovoapp/es/bzg/store/frazza-bistro-bzg/
,,,Cactus,https://glovoapp/es/bzg/store/food-truck-cactus-bzg/
,,,Może Ryba - Fish & Chips,https://glovoapp/es/bzg/store/mo-e-ryba---fish---chips-bzg/
,,,Oto Sushi,https://glovoapp/es/bzg/store/oto-sushi-bzg/
,,,Pierogarnia Stolnica Kujawska,https://glovoapp/es/bzg/store/pierogarnia-stolnica-kujawska/
,,,SU&BU,https://glovoapp/es/zhy/store/su-bu-zhy/
,,,OKKO CAFE / ОККО КАФЕ,https://glovoapp/es/zhy/store/okkokafe-zhy/
,,,Sushka,https://glovoapp/es/zhy/store/sushka/
,,,London The Club,https://glovoapp/es/zhy/store/london-the-club-zhy/
,,,Bereza / Береза,https://glovoapp/es/zhy/store/bereza-zhy/
,,,Salatius,https://glovoapp/es/zhy/store/salatius-zhy/
,,,Kavatti / Каватті,https://glovoapp/es/zhy/store/kavatti-zhy/
,,,Pastries and coffee / Випічка та кава,https://glovoapp/es/zhy/store/pastries-and-coffee-zhy/
,,,Papa Joe,https://glovoapp/es/zhy/store/papa-joe-zhy/
,,,Caffeggio,https://glovoapp/es/zhy/store/caffeggio-zhy/
,,,Koleso / Колесо,https://glovoapp/es/zhy/store/koleso-zhy/
,,,Kido-kido,https://glovoapp/es/zhy/store/kido-kido-zhy/
,,,Portal / Портал,https://glovoapp/es/zhy/store/portal-zhy/
,,,Labro Kaviarnia / Лабро кав'ярня,https://glovoapp/es/zhy/store/labro-kaviarnya-zhy/
,,,Aroma Kava / Арома Кава,https://glovoapp/es/zhy/store/aroma-kava-zhy/
,,,Zivot a pivo,https://glovoapp/es/zhy/store/zivot-a-pivo-zhy/
,,,BeardCoffee,https://glovoapp/es/zhy/store/beardcoffee-zhy/
,,,Budynok Kavy / Будинок кави,https://glovoapp/es/zhy/store/budynok-kavy-zhy/
,,,Barbarossa Bar,https://glovoapp/es/zhy/store/barbarossa-bar-zhy/
,,,Pizzeria DaVinci,https://glovoapp/es/bzg/store/pizzeria-da-vinci-bzg/
,,,Burger Strefa,https://glovoapp/es/bzg/store/burger-strefa-bzg/
,,,Paco Pizza & Kebab,https://glovoapp/es/bzg/store/paco-pizza-kebab-bzg/
,,,Pod Aniołami Vege,https://glovoapp/es/bzg/store/pod-aniolami-vege-bzg/
,,, Pierogarnia pod Aniołami,https://glovoapp/es/bzg/store/pierogarnia-pod-anio-ami-bzg/
,,,GREEKS Greckie Bistro,https://glovoapp/es/bzg/store/greeks-greckie-bistro-bzg/
,,,Kami,https://glovoapp/es/bzg/store/kami-bzg/
,,,Pizza Barzza,https://glovoapp/es/bzg/store/pizza-barzza-bzg/
,,,Rondo Pizza,https://glovoapp/es/bzg/store/rondo-pizza-bzg/
,,,Bulwar Bistro,https://glovoapp/es/bzg/store/bulwar-bistro-bzg/
,,,Abc Bistro ,https://glovoapp/es/bzg/store/abc-bistro-bzg/
,,,Social Food,https://glovoapp/es/bzg/store/smacznego-bzg/
,,,Vito Calzone,https://glovoapp/es/bzg/store/vito-calzone-bzg/
,,,Bufet pod Ratuszem,https://glovoapp/es/bzg/store/bufet-pod-ratuszem-bzg/
,,,Pork Favor,https://glovoapp/es/bzg/store/pork-favor-bzg/
,,,Prokuratura,https://glovoapp/es/bzg/store/prokuratura-bzg/
,,,Buongiorno,https://glovoapp/es/bzg/store/buongiorno-bzg/
,,,Bar Pyszotka,https://glovoapp/es/bzg/store/bar-pyszotka-bzg/
,,,Sphinx,https://glovoapp/es/bzg/store/sphinx-bzg/
,,,Bar Akademicki,https://glovoapp/es/bzg/store/bar-akademicki/
,,,Grube Pierogi,https://glovoapp/es/bzg/store/grube-pierogi-bzg/
,,,Come On,https://glovoapp/es/zhy/store/come-on-zhy/
,,,Boho Chill & Grill,https://glovoapp/es/zhy/store/boho-chill-grill-zhy/
,,,Mandry / Мандри,https://glovoapp/es/zhy/store/mandry-zhy/
,,,Old DENER kebab,https://glovoapp/es/zhy/store/old-dener-kebab/
,,,SOVA loft bar,https://glovoapp/es/zhy/store/sova-loft-bar-zhy/
,,,Lvivski Pliatsky / Львівські пляцки ,https://glovoapp/es/zhy/store/lvivski-pliatsky-zhy/
,,,BBQ,https://glovoapp/es/zhy/store/bbq-zhy/
,,,Kav'yarnya Kucheryava Kava / Кав'ярня Кучерява Кава ,https://glovoapp/es/zhy/store/kav-yarnya-kucheryava-kava-zhy/
,,,Primavera,https://glovoapp/es/zhy/store/primavera-zhy/
,,,Pan Martsypan / Пан Марципан,https://glovoapp/es/zhy/store/pan-martsypan-zhy/
,,,Tse Shchosʹ / Це щось,https://glovoapp/es/zhy/store/tse-shchos-zhy/
,,,Bosushy / БоСуши,https://glovoapp/es/zhy/store/bosushi-zhy/
,,,Korchma / Корчма,https://glovoapp/es/zhy/store/korchma-zhy/
,,,Tower,https://glovoapp/es/zhy/store/tower-zhy/
